,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
0,Net-juu no Susume,1568,TV,10,Oct 2017 - Dec 2017,450968,https://myanimelist.net/anime/36038/Net-juu_no_Susume,https://cdn.myanimelist.net/r/100x140/images/anime/3/87463.jpg?s=db709e677b62490fbf95785ed1dac6b7,7.55
1,Neon Genesis Evangelion: The End of Evangelion,99,Movie,1,Jul 1997 - Jul 1997,883576,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,https://cdn.myanimelist.net/r/100x140/images/anime/1404/98182.jpg?s=98628f236cf7dbac1e0b6eb6d0615aa5,8.55
2,Templex,11445,Movie,1,2015 - 2015,538,https://myanimelist.net/anime/40721/Templex,https://cdn.myanimelist.net/r/100x140/images/anime/1714/104368.jpg?s=fa00bd8ccbfc255b27f0b8d24b034b10,5.29
3,s.CRY.ed,2248,TV,26,Jul 2001 - Dec 2001,81283,https://myanimelist.net/anime/168/sCRYed,https://cdn.myanimelist.net/r/100x140/images/anime/8/89882.jpg?s=82657db302a858b9747cd5de04e3a939,7.36
4,Toaru Majutsu no Index-tan III,6679,Special,2,Dec 2018 - Apr 2019,11370,https://myanimelist.net/anime/39094/Toaru_Majutsu_no_Index-tan_III,https://cdn.myanimelist.net/r/100x140/images/anime/1937/98538.jpg?s=0c59f7c19e24490f3cd26266b42a0619,6.44
5,Hana to Mogura,10991,Movie,1,1970 - 1970,595,https://myanimelist.net/anime/13089/Hana_to_Mogura,https://cdn.myanimelist.net/r/100x140/images/anime/9/36697.jpg?s=b5c6b87ca9a75dba06c9cd51800b8530,5.45
6,Drifters (OVA): Kokuou-sama Goranshin,7084,Special,1,Dec 2017 - Dec 2017,7242,https://myanimelist.net/anime/37046/Drifters_OVA__Kokuou-sama_Goranshin,https://cdn.myanimelist.net/r/100x140/images/anime/12/89841.jpg?s=3ac7bab0dd1e866315002c218c241f07,6.37
7,Himitsukessha Taka no Tsume,8653,TV,11,Apr 2006 - Jun 2006,1216,https://myanimelist.net/anime/4737/Himitsukessha_Taka_no_Tsume,https://cdn.myanimelist.net/r/100x140/images/anime/13/82755.jpg?s=bd5bd574cf3ad95e4fcade7ce7721729,6.05
8,Nyanpire The Animation,5629,TV,12,Jul 2011 - Sep 2011,27709,https://myanimelist.net/anime/10197/Nyanpire_The_Animation,https://cdn.myanimelist.net/r/100x140/images/anime/11/46147.jpg?s=d152a2c2e9e6bdce829c4123fbade848,6.65
9,.hack//Intermezzo,6284,Special,1,Mar 2003 - Mar 2003,23083,https://myanimelist.net/anime/1143/hack__Intermezzo,https://cdn.myanimelist.net/r/100x140/images/anime/1844/131542.jpg?s=98e58d1d90954664434db3de79452c5d,6.52
